timestamp ba_x ba_y ba_z bg_x bg_y bg_z
2775.148000 -0.72656643 -0.40905805 0.04477712 0.00135337 0.00083869 0.00030322
2775.248000 -0.72656644 -0.40905802 0.04477712 -0.00017073 -0.00020383 -0.00007044
2775.308000 -0.72656644 -0.40905801 0.04477715 0.00029791 -0.00154851 0.00028343
2775.412000 -0.72656643 -0.40905798 0.04477714 0.00046708 -0.00092950 -0.00111317
2775.472000 -0.72656655 -0.40905785 0.04477715 0.00086176 -0.00112958 -0.00071878
2775.540000 -0.72656659 -0.40905771 0.04477718 -0.00129571 0.00034756 -0.00114944
2775.604000 -0.72656654 -0.40905778 0.04477715 0.00021233 0.00072842 0.00002864
2775.672000 -0.72656653 -0.40905776 0.04477713 0.00004901 0.00200805 -0.00110464
2775.736000 -0.72656652 -0.40905775 0.04477713 0.00051553 0.00014830 -0.00133581
2775.808000 -0.72656654 -0.40905771 0.04477713 0.00043925 -0.00121239 -0.00230434
2775.900000 -0.72656672 -0.40905824 0.04477714 0.00457270 0.00214804 -0.00053683
2776.008000 -0.72656666 -0.40905829 0.04477713 -0.01369717 -0.00591719 -0.00097154
2776.040000 -0.72656666 -0.40905829 0.04477713 0.00292523 -0.00122692 -0.00593780
2776.104000 -0.72656666 -0.40905833 0.04477723 0.00085133 0.00242240 -0.00040523
2776.172000 -0.72656665 -0.40905832 0.04477723 -0.00245483 0.00130884 -0.00269018
2776.244000 -0.72656664 -0.40905831 0.04477723 -0.00354978 -0.00057224 -0.00080735
2776.392000 -0.72656659 -0.40905826 0.04477721 -0.00594374 -0.00222877 -0.00054361
2776.436000 -0.72656643 -0.40905859 0.04477730 0.01284586 0.00422901 -0.00330867
2776.532000 -0.72656651 -0.40905824 0.04477716 0.00054811 -0.00106472 0.00110745
2776.604000 -0.72656673 -0.40905801 0.04477722 -0.00321465 -0.00098343 -0.00221868
2776.672000 -0.72656688 -0.40905790 0.04477733 -0.00044866 -0.00143471 -0.00165693
